TV,Radio,Periodico,Web,Ventas
164.5,20.9,47.4,96.1803911129283,14.5
19.6,20.1,17.0,155.583661652289,7.6
168.4,7.1,12.8,218.180829378504,11.7
222.4,3.4,13.1,144.525661776117,11.5
276.9,48.9,41.8,151.990733318283,27.0
248.4,30.2,20.3,163.852044003918,20.2
170.2,7.8,35.2,104.91734408985,11.7
276.7,2.3,23.7,137.32377232997,11.8
165.6,10.0,17.6,151.990733318283,12.6
156.6,2.6,8.3,122.116470272466,10.5
218.5,5.4,27.4,162.387485960274,12.2
56.2,5.7,29.7,42.1992874965732,8.7
287.6,43.0,71.8,154.309724818537,26.2
253.8,21.3,30.0,181.579050862402,17.6
205.0,45.1,19.6,208.692689555245,22.6
139.5,2.1,26.6,236.744035202548,10.3
191.1,28.7,18.2,239.275712849166,17.3
286.0,13.9,3.7,151.990733318283,15.9
18.7,12.1,23.4,222.906950610562,6.7
39.5,41.1,5.8,219.890583274746,10.8
75.5,10.8,6.0,301.481194372435,9.9
17.2,4.1,31.6,265.028644302173,5.9
166.8,42.0,3.6,192.246210812397,19.6
149.7,35.6,6.0,99.57998136673,17.3
38.2,3.7,13.8,248.841072907734,7.6
94.2,4.9,8.1,118.041856209438,9.7
177.0,9.3,6.4,213.27467102771,12.8
283.6,42.0,66.2,237.498063458339,25.5
232.1,8.6,8.7,151.990733318283,13.4
